,PLAYER,G,GLS,GPG,AST,APG,BLK,BPG,+ / -,+/- PG,CMP,CPG,CMP %,PP,PPG
579,Charlie Eide,4,0,0.00,0,0.00,0,0.00,-1,-0.25,12,3.00,92.30,46,11.50
580,Steve May,1,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00,7,7.00
581,Noriaki To,2,0,0.00,1,0.50,0,0.00,1,0.50,4,2.00,100.00,13,6.50
582,Shashank Alladi,4,0,0.00,3,0.75,1,0.25,-3,-0.75,32,8.00,84.20,67,16.75
583,Alex Liu,5,0,0.00,1,0.20,0,0.00,-3,-0.60,6,1.20,66.70,40,8.00
584,Jordan Perry,4,0,0.00,6,1.50,2,0.50,7,1.75,39,9.75,97.50,59,14.75
585,Noah Chambers,3,0,0.00,0,0.00,3,1.00,0,0.00,15,5.00,83.30,37,12.33
586,Eric Hytönen,1,0,0.00,1,1.00,0,0.00,0,0.00,4,4.00,80.00,9,9.00
587,Joey Huppert,3,0,0.00,0,0.00,1,0.33,0,0.00,2,0.67,66.70,17,5.67
588,Andrew Cohen,4,0,0.00,4,1.00,0,0.00,-1,-0.25,89,22.25,94.70,60,15.00
589,Mitchell DeNooyer,4,0,0.00,1,0.25,0,0.00,0,0.00,5,1.25,83.30,41,10.25
